,S3AQ2A1,CHECK321,S3AQ51,S3AQ10D,S3AQ10GR
304, ,, , , 
305, ,, , , 
306, ,, , , 
307, ,, , , 
308, ,, , , 
309, ,, , , 
310,12,1.0, , , 
311, ,, , , 
312,17,1.0,22, , 
313, ,, , , 
314, ,, , , 
315,17,2.0, , , 
316, ,, , , 
317,16,1.0,16, , 
318,11,1.0,25,33,33
319, ,, , , 
320, ,, , , 
321,5,1.0,16, , 
322,20,2.0,20, , 
323,16,2.0,16, , 
324, ,, , , 
325, ,, , , 
326,14,2.0,14, , 
327,29,2.0,29, , 
328, ,, , , 
329, ,, , , 
330,21,2.0,21,41,41
331, ,, , , 
332, ,, , , 
333, ,, , , 
334,17,1.0,17,26,27
335, ,, , , 
336,17,1.0,17, , 
337, ,, , , 
338, ,, , , 
339, ,, , , 
340,99,1.0,99, , 
341,17,1.0, , , 
342, ,, , , 
343, ,, , , 
344, ,, , , 
345,15,2.0,27,50,50
346, ,, , , 
347,10,1.0,36, , 
348, ,, , , 
349, ,, , , 
350, ,, , , 
351, ,, , , 
352, ,, , , 
353,27,1.0,27,27,27
354,23,1.0,23,99,28
355, ,, , , 
356, ,, , , 
357, ,, , , 
358,35,1.0,35, , 
359,21,1.0,30,43,44
360, ,, , , 
361,30,2.0,35, , 
362,18,2.0,18, , 
363,12,1.0,16,21,25
364, ,, , , 
365, ,, , , 
366, ,, , , 
367, ,, , , 
368, ,, , , 
369, ,, , , 
370,19,1.0,19,55,56
371, ,, , , 
372, ,, , , 
373, ,, , , 
374, ,, , , 
375, ,, , , 
376,18,2.0,18, , 
377,13,1.0,13,43,44
378, ,, , , 
379, ,, , , 
380, ,, , , 
381, ,, , , 
382, ,, , , 
383, ,, , , 
384, ,, , , 
385, ,, , , 
386,11,1.0,11,47,48
387,13,2.0,15,28,28
388, ,, , , 
389, ,, , , 
390, ,, , , 
391,18,1.0,18, , 
392, ,, , , 
393,17,1.0,17, , 
394,16,1.0,19, , 
395, ,, , , 
396, ,, , , 
397,18,2.0,18, , 
398,16,1.0, , , 
399,24,2.0,24, , 
400, ,, , , 
401, ,, , , 
402, ,, , , 
403, ,, , , 
404,16,2.0,22, , 
405,9,2.0,10, , 
406, ,, , , 
407, ,, , , 
408, ,, , , 
409, ,, , , 
410,12,2.0,12,17,26
411, ,, , , 
412,16,1.0,18,18,19
413, ,, , , 
414,17,2.0,18, , 
415,19,1.0,19,32,33
416, ,, , , 
417,7,1.0,9,18,19
418, ,, , , 
419,16,1.0,20, , 
420, ,, , , 
421, ,, , , 
422, ,, , , 
423, ,, , , 
424, ,, , , 
425, ,, , , 
426,15,1.0,18,41,42
427,17,2.0,19, , 
428, ,, , , 
429,10,1.0,45, , 
430,21,1.0,28, , 
431, ,, , , 
432, ,, , , 
433, ,, , , 
