,S3AQ2A1,CHECK321,S3AQ51,S3AQ10D,S3AQ10GR
13709, ,, , , 
13710,16,2.0,18, , 
13711, ,, ,18,32
13712,19,2.0,19, , 
13713,19,1.0,25, , 
13714, ,, , , 
13715, ,, , , 
13716,18,2.0, , , 
13717,13,2.0,16, , 
13718, ,, , , 
13719,21,2.0,30, , 
13720,16,2.0,16, , 
13721,18,1.0,24,28,28
13722,16,1.0,17, , 
13723, ,, , , 
13724, ,, , , 
13725, ,, , , 
13726,13,1.0,16,37,37
13727, ,, , , 
13728, ,, , , 
13729, ,, , , 
13730, ,, , , 
13731,13,1.0,13,37,38
13732, ,, ,35,35
13733,16,1.0,18,37,37
13734,22,2.0,22, , 
13735, ,, , , 
13736,16,1.0,19,21,22
13737, ,, , , 
13738,15,2.0,18, , 
13739, ,, , , 
13740,15,1.0,16, , 
13741,13,1.0,13,35,36
13742,21,2.0,47, , 
13743,12,2.0,18, , 
13744, ,, , , 
13745, ,, , , 
13746, ,, , , 
13747,12,2.0,15, , 
13748, ,, , , 
13749, ,, , , 
13750,17,1.0,17, , 
13751,8,2.0,40, , 
13752, ,, ,43,44
13753,21,2.0,25, , 
13754,12,1.0,16,39,40
13755,16,2.0, , , 
13756, ,, , , 
13757, ,, , , 
13758, ,, , , 
13759, ,, , , 
13760, ,, , , 
13761,21,2.0,21, , 
13762,13,2.0,21, , 
13763, ,, , , 
13764, ,, , , 
13765,18,2.0,26, , 
13766, ,, , , 
13767,19,1.0,19,23,24
13768,14,2.0,18, , 
13769,15,1.0,20, , 
13770, ,, , , 
13771, ,, , , 
13772, ,, , , 
13773, ,, , , 
13774,13,1.0,20,19,19
13775, ,, , , 
13776,18,2.0,18, , 
13777, ,, , , 
13778, ,, , , 
13779,15,1.0,21,30,31
13780,17,1.0,18, , 
13781, ,, , , 
13782,16,1.0,18,27,45
13783,21,1.0,22, , 
13784,12,1.0,16, , 
13785, ,, , , 
13786,16,2.0,16, , 
13787, ,, , , 
13788, ,, , , 
13789,16,1.0,17, , 
13790,13,1.0,17,41,42
13791, ,, , , 
13792,19,2.0,21, , 
13793, ,, , , 
13794,18,2.0,21, , 
13795,16,2.0,16, , 
13796,15,1.0,17,20,21
13797,18,1.0, , , 
13798, ,, , , 
13799, ,, , , 
13800, ,, , , 
13801,14,1.0,14, , 
13802, ,, , , 
13803,14,1.0,16,99,99
13804,25,1.0,25,25,25
13805,21,2.0,25, , 
13806, ,, , , 
13807,22,1.0,22, , 
13808, ,, , , 
13809, ,, , , 
13810, ,, , , 
13811,14,2.0,14, , 
13812, ,, , , 
13813,15,1.0,15,26,27
13814,13,2.0,15,30,30
13815, ,, , , 
13816, ,, , , 
13817,13,1.0,16,56,57
13818,16,2.0, , , 
13819, ,, , , 
13820,12,2.0,18,20,20
13821,22,1.0, , , 
13822,17,1.0,18,18,18
13823, ,, , , 
13824, ,, , , 
13825, ,, , , 
13826, ,, , , 
13827,10,1.0,10, , 
13828,15,2.0,16,26,26
13829, ,, , , 
13830, ,, , , 
13831, ,, , , 
13832, ,, , , 
13833, ,, , , 
13834,14,1.0,23, , 
13835,15,1.0,16,99,75
13836, ,, , , 
13837, ,, , , 
13838, ,, , , 
13839, ,, , , 
13840,11,1.0,12,16,24
13841, ,, , , 
13842, ,, , , 
13843, ,, , , 
13844, ,, , , 
13845,19,2.0,40, , 
13846,12,1.0,14,25,26
13847,18,2.0,18, , 
13848, ,, , , 
13849, ,, , , 
13850, ,, , , 
13851, ,, , , 
13852, ,, , , 
13853, ,, , , 
13854, ,, , , 
13855,20,2.0,20,25,25
13856, ,, , , 
13857,21,1.0,21, , 
13858, ,, , , 
13859, ,, , , 
13860, ,, , , 
13861, ,, , , 
13862,35,1.0, , , 
13863, ,, , , 
13864, ,, , , 
13865,17,1.0,19,24,25
13866,99,1.0,99,99,99
13867, ,, , , 
13868, ,, , , 
13869,13,2.0,16, , 
13870,11,2.0,11, , 
13871,13,1.0,17,20,20
13872,99,2.0,99,99,99
13873,12,1.0,15, , 
13874,16,2.0,21, , 
13875, ,, , , 
13876,18,1.0,21, , 
13877,18,1.0,21,39,46
13878,21,1.0,21, , 
13879,18,2.0,19, , 
13880, ,, , , 
13881, ,, , , 
13882, ,, , , 
13883,8,2.0,16, , 
13884, ,, , , 
13885,7,1.0,7,16,16
13886, ,, , , 
13887,14,1.0, , , 
13888, ,, , , 
13889,8,1.0,16,18,18
13890, ,, , , 
13891, ,, , , 
13892, ,, , , 
13893, ,, , , 
13894, ,, , , 
13895,13,2.0,19, , 
13896,19,2.0, , , 
13897, ,, , , 
13898, ,, , , 
13899, ,, , , 
13900, ,, , , 
13901, ,, , , 
13902, ,, , , 
13903,14,2.0,14, , 
13904, ,, , , 
13905, ,, , , 
13906, ,, , , 
13907, ,, , , 
13908, ,, , , 
13909, ,, , , 
13910,15,1.0,30,59,60
13911,18,1.0,18,19,20
13912,13,2.0,14, , 
13913, ,, , , 
13914, ,, , , 
13915, ,, , , 
13916, ,, , , 
13917,16,1.0,20, , 
13918, ,, , , 
13919, ,, , , 
13920,14,1.0,17,25,27
13921, ,, , , 
13922, ,, , , 
13923,15,2.0, , , 
13924,13,1.0,25,99,49
13925, ,, , , 
13926, ,, , , 
13927,25,1.0,99, , 
13928, ,, , , 
13929,12,1.0,14,15,15
13930, ,, , , 
13931, ,, , , 
13932, ,, ,44,47
13933, ,, , , 
13934,16,1.0,16,51,52
13935,18,2.0,20, , 
13936,19,1.0,19,61,62
13937,12,2.0,17, , 
13938,13,1.0,15,22,23
13939, ,, , , 
13940, ,, , , 
13941, ,, , , 
13942, ,, , , 
13943,12,1.0,21,21,22
13944,14,2.0,18, , 
13945, ,, , , 
13946,17,2.0,20,99,99
13947, ,, , , 
13948, ,, , , 
13949,18,1.0,18,19,20
13950, ,, , , 
13951, ,, , , 
13952,8,2.0,15, , 
13953, ,, , , 
13954, ,, , , 
13955,16,2.0,17,20,20
13956, ,, , , 
13957,9,1.0, , , 
13958, ,, , , 
13959,16,2.0,16,18,18
13960, ,, , , 
13961, ,, , , 
13962,19,2.0,19,99,99
13963, ,, , , 
13964, ,, , , 
13965, ,, , , 
13966,11,1.0,18, , 
13967, ,, , , 
13968, ,, , , 
13969, ,, , , 
13970, ,, , , 
13971,19,1.0,19, , 
13972, ,, , , 
13973,15,2.0,15,31,31
13974, ,, , , 
13975, ,, ,44,45
13976, ,, , , 
13977, ,, , , 
13978,16,1.0,16, , 
13979,14,2.0,14,14,55
13980,18,1.0,18,30,31
13981,14,1.0,16,18,18
13982,19,1.0,19, , 
13983,6,1.0,16, , 
13984, ,, , , 
13985, ,, , , 
13986, ,, , , 
13987, ,, , , 
13988,10,2.0,18, , 
13989, ,, , , 
13990, ,, , , 
13991, ,, , , 
13992,15,1.0,17, , 
13993, ,, ,26,26
13994, ,, ,39,40
13995, ,, , , 
13996, ,, , , 
13997, ,, , , 
13998,21,2.0,21, , 
13999,14,2.0,17, , 
14000, ,, , , 
14001,17,1.0,17,72,73
14002,16,1.0,17,19,19
14003,27,1.0,44,63,63
14004, ,, , , 
14005, ,, , , 
14006, ,, , , 
14007, ,, , , 
14008, ,, , , 
14009,8,1.0,8,18,18
14010,16,1.0,30, , 
14011, ,, , , 
14012, ,, , , 
14013, ,, , , 
14014, ,, , , 
14015, ,, , , 
14016,21,2.0, , , 
14017,16,1.0,22,56,57
14018, ,, , , 
14019, ,, , , 
14020, ,, , , 
14021, ,, , , 
14022, ,, , , 
14023, ,, , , 
14024,18,2.0, , , 
14025,16,1.0,17, , 
14026, ,, , , 
14027, ,, , , 
14028, ,, , , 
14029, ,, , , 
14030,30,2.0,31, , 
14031, ,, , , 
14032, ,, , , 
14033,18,2.0,18, , 
14034, ,, , , 
14035,17,2.0,17, , 
14036,23,2.0,23, , 
14037, ,, , , 
14038,16,2.0,16, , 
14039, ,, , , 
14040,16,2.0, , , 
14041, ,, , , 
14042, ,, , , 
14043,17,2.0,19, , 
14044, ,, , , 
14045, ,, , , 
14046,12,2.0,16,20,30
14047,15,2.0,17, , 
14048, ,, , , 
14049,12,1.0,15,17,17
14050,18,1.0,18, , 
14051,27,1.0,29, , 
14052, ,, , , 
14053, ,, , , 
14054,20,2.0,25, , 
14055, ,, , , 
14056,19,2.0,19, , 
14057, ,, , , 
14058, ,, , , 
14059, ,, , , 
14060,6,1.0,17, , 
14061,15,2.0, , , 
14062, ,, , , 
14063, ,, , , 
14064,26,2.0,29, , 
14065, ,, , , 
14066, ,, , , 
14067, ,, , , 
14068, ,, , , 
14069,10,1.0, ,16,16
14070, ,, , , 
14071, ,, , , 
14072,16,2.0,16,16,53
14073,16,2.0,16,17,43
14074,18,1.0,18,47,48
14075, ,, , , 
14076, ,, , , 
14077,13,1.0,16,16,16
14078, ,, , , 
14079, ,, , , 
14080,16,1.0,16, , 
14081, ,, , , 
14082, ,, , , 
14083, ,, , , 
14084,11,2.0,11, , 
14085,15,2.0,17, , 
14086, ,, , , 
14087,18,1.0,18, , 
14088, ,, , , 
14089, ,, , , 
14090,10,2.0, , , 
14091, ,, , , 
14092,15,2.0, , , 
14093, ,, , , 
14094, ,, , , 
14095, ,, , , 
14096, ,, , , 
14097, ,, , , 
14098, ,, , , 
14099, ,, , , 
14100, ,, , , 
14101,19,1.0,19,29,30
14102, ,, , , 
14103, ,, , , 
14104, ,, , , 
14105, ,, , , 
14106,12,1.0,17,19,19
14107, ,, , , 
14108,18,2.0,18,39,43
14109,10,1.0,11, , 
14110, ,, , , 
14111,14,1.0,14,17,17
14112, ,, , , 
14113, ,, , , 
14114, ,, , , 
14115, ,, , , 
14116,16,2.0,18, , 
14117, ,, , , 
14118, ,, , , 
14119, ,, , , 
14120,16,1.0,19, , 
14121, ,, , , 
14122, ,, , , 
14123, ,, , , 
14124, ,, , , 
14125,99,1.0,99, , 
14126, ,, , , 
14127,5,1.0,10, , 
14128,17,1.0,18,19,19
14129,40,2.0,40, , 
14130,18,1.0,21,23,24
14131,16,2.0,27,27,27
14132,14,2.0,20, , 
14133, ,, , , 
14134, ,, , , 
14135, ,, , , 
14136,15,1.0,18,25,45
14137,12,2.0, , , 
14138, ,, , , 
14139,12,1.0,14, , 
14140,14,2.0,16, , 
14141, ,, , , 
14142, ,, , , 
14143, ,, , , 
14144,18,2.0,18, , 
14145,14,1.0,18, , 
14146, ,, , , 
14147,18,1.0,19,32,35
14148, ,, , , 
14149,10,2.0, , , 
14150,18,2.0,20,46,46
14151,23,1.0,23, , 
14152,9,2.0,17,17,17
14153,15,2.0,17, , 
14154,20,1.0, , , 
14155, ,, , , 
14156,10,1.0,16,22,23
14157,16,1.0,16,37,38
14158,18,2.0,18, , 
14159,18,2.0,18, , 
14160, ,, , , 
14161,11,1.0,11, , 
14162,12,1.0,12, , 
14163, ,, , , 
14164, ,, , , 
14165,12,1.0,12, , 
14166, ,, , , 
14167, ,, , , 
14168,14,2.0,19, , 
14169, ,, , , 
14170,17,1.0,17,24,25
14171,20,1.0,21, , 
14172,21,1.0,21,35,36
14173,12,2.0,18, , 
14174,18,2.0,18, , 
14175,16,1.0,16, , 
14176, ,, , , 
14177,18,1.0,18,35,36
14178, ,, , , 
14179, ,, , , 
14180, ,, , , 
14181, ,, , , 
14182,17,1.0,18,18,19
14183,20,2.0,20, , 
14184,25,2.0,25,25,25
14185,15,2.0,18, , 
14186,13,2.0,18, , 
14187,16,1.0,18, , 
14188, ,, , , 
14189,23,2.0,25, , 
14190, ,, , , 
14191, ,, , , 
14192,14,2.0,14, , 
14193, ,, , , 
14194, ,, , , 
14195, ,, , , 
14196,11,1.0,16, , 
14197,19,2.0,19, , 
14198, ,, , , 
14199, ,, , , 
14200, ,, , , 
14201,20,1.0,20, , 
14202,8,1.0, , , 
14203,24,1.0,27, , 
14204, ,, , , 
14205, ,, , , 
14206, ,, , , 
14207,23,1.0,23,39,39
14208,16,2.0,16, , 
14209, ,, , , 
14210, ,, , , 
14211, ,, , , 
14212, ,, , , 
14213, ,, , , 
14214, ,, , , 
14215, ,, , , 
14216, ,, , , 
14217,12,2.0,17, , 
14218, ,, , , 
14219,16,1.0,18, , 
14220, ,, , , 
14221,14,2.0,18,19,19
14222, ,, , , 
14223, ,, , , 
14224, ,, , , 
14225,17,2.0,18, , 
14226,5,1.0,15, , 
14227, ,, , , 
14228,14,1.0,18, , 
14229,19,2.0,19, , 
14230,99,2.0,99, , 
14231, ,, , , 
14232, ,, , , 
14233, ,, , , 
14234, ,, , , 
14235, ,, , , 
14236, ,, , , 
14237,15,2.0,18, , 
14238,19,1.0,19,30,30
14239, ,, , , 
14240,14,1.0,16,18,18
14241, ,, , , 
14242, ,, , , 
14243, ,, , , 
14244,20,1.0,20,63,63
14245,12,2.0,16, , 
14246,16,1.0,19,19,99
14247, ,, , , 
14248, ,, , , 
14249, ,, , , 
14250, ,, , , 
14251,13,1.0,14,14,39
14252, ,, , , 
14253,11,2.0,17, , 
14254, ,, , , 
14255, ,, , , 
14256,18,1.0,18, , 
14257,15,1.0,25,72,72
14258,18,2.0,21, , 
14259, ,, , , 
14260, ,, , , 
14261, ,, , , 
14262, ,, , , 
14263,13,2.0,13, , 
14264, ,, , , 
14265,14,1.0,14,15,15
14266,5,2.0, , , 
14267, ,, , , 
14268, ,, , , 
14269, ,, , , 
14270,47,1.0,47, , 
14271, ,, , , 
14272,15,1.0,21,50,78
14273, ,, , , 
14274, ,, , , 
14275, ,, , , 
14276,19,2.0,22,43,43
14277, ,, , , 
14278,14,1.0,18, , 
14279, ,, , , 
14280, ,, , , 
14281, ,, , , 
14282,14,1.0,14, , 
14283, ,, ,20,20
14284, ,, , , 
14285,18,2.0,23, , 
14286, ,, , , 
14287,18,1.0,18,57,58
14288,30,2.0, , , 
14289,18,2.0,18, , 
14290, ,, , , 
14291, ,, , , 
14292, ,, , , 
14293,15,1.0,18,36,36
14294,13,1.0,13,35,36
14295,15,2.0,18, , 
14296,14,1.0,17,30,55
14297, ,, , , 
14298, ,, , , 
14299, ,, , , 
14300, ,, , , 
14301,15,1.0,20,44,45
14302,17,1.0,21,41,42
14303, ,, , , 
14304,14,2.0,14, , 
14305, ,, , , 
14306, ,, , , 
14307, ,, , , 
14308,16,1.0,16,46,47
14309, ,, , , 
14310, ,, , , 
14311, ,, , , 
14312,21,1.0, , , 
14313,16,1.0,17, , 
14314, ,, , , 
14315,13,1.0,18, , 
14316, ,, , , 
14317, ,, , , 
14318, ,, , , 
14319, ,, , , 
14320,15,1.0,18,63,64
14321, ,, , , 
14322,19,1.0,25,50,51
14323,12,1.0,12,30,31
14324, ,, , , 
14325,15,2.0,18,18,18
14326, ,, , , 
14327,18,2.0,19, , 
14328, ,, , , 
14329,20,2.0,20, , 
14330,12,2.0,14,30,38
14331,25,1.0,29,37,37
14332, ,, , , 
14333, ,, , , 
14334,8,1.0, ,29,29
14335, ,, , , 
14336,25,2.0,25,35,35
14337,15,1.0, , , 
14338,25,1.0,29, , 
14339, ,, , , 
14340, ,, , , 
14341,19,2.0,22, , 
14342,20,1.0,31,47,48
14343,11,1.0,14,35,35
14344, ,, , , 
14345, ,, , , 
14346,19,1.0,19, , 
14347,16,2.0,16,16,16
14348,15,2.0,18, , 
14349,18,1.0,21,42,43
14350, ,, , , 
14351,18,2.0,18, , 
14352, ,, , , 
14353, ,, , , 
14354,18,1.0,21,50,51
14355,11,2.0,17,99,99
14356,14,1.0,14, , 
14357, ,, , , 
14358, ,, , , 
14359, ,, , , 
14360,15,1.0,18, , 
14361, ,, , , 
14362, ,, , , 
14363, ,, , , 
14364,21,1.0,22,25,25
14365, ,, , , 
14366, ,, , , 
14367, ,, , , 
14368, ,, , , 
14369, ,, , , 
14370, ,, , , 
14371, ,, , , 
14372, ,, , , 
14373,16,1.0,21, , 
14374,17,1.0,18,30,31
14375, ,, , , 
14376,21,2.0, , , 
14377,15,1.0,22,25,41
14378,26,2.0,26, , 
14379, ,, , , 
14380, ,, , , 
14381, ,, , , 
14382, ,, , , 
14383, ,, , , 
14384, ,, , , 
14385, ,, , , 
14386, ,, , , 
14387, ,, , , 
14388, ,, , , 
14389, ,, , , 
14390, ,, , , 
14391,16,1.0,23,40,45
14392,14,2.0,24,29,30
14393, ,, , , 
14394, ,, , , 
14395, ,, , , 
14396, ,, , , 
14397, ,, , , 
14398,16,2.0,24, , 
14399, ,, , , 
14400, ,, , , 
14401, ,, , , 
14402, ,, , , 
14403,18,2.0,19, , 
14404, ,, , , 
14405, ,, , , 
14406,18,2.0,18, , 
14407, ,, , , 
14408,14,2.0,17, , 
14409, ,, , , 
14410,15,2.0,15, , 
14411, ,, , , 
14412,18,2.0,18,99,99
14413,18,1.0,18, , 
14414, ,, , , 
14415, ,, , , 
14416, ,, , , 
14417, ,, , , 
14418,12,2.0,12,58,58
14419,99,1.0,19, , 
14420, ,, , , 
14421,16,2.0,16, , 
14422,18,2.0,20,21,25
14423, ,, , , 
14424, ,, , , 
14425,20,2.0,25, , 
14426,21,1.0, , , 
14427,16,1.0,16,74,75
14428, ,, , , 
14429,18,1.0,99, , 
14430,10,1.0,15,39,40
14431, ,, , , 
14432, ,, , , 
14433, ,, , , 
14434, ,, , , 
14435, ,, , , 
14436, ,, , , 
14437,13,2.0,16, , 
14438, ,, , , 
14439,17,1.0,21, , 
14440,21,1.0,21,30,30
14441,21,1.0,21, , 
14442, ,, , , 
14443, ,, , , 
14444,13,1.0,19,33,34
14445, ,, , , 
14446, ,, , , 
14447,99,9.0,99, , 
14448, ,, , , 
14449, ,, , , 
14450, ,, , , 
14451,16,1.0,18, , 
14452,8,1.0,16,32,33
14453, ,, , , 
14454,16,1.0,18,33,34
14455, ,, , , 
14456, ,, , , 
14457,16,2.0,21, , 
14458, ,, , , 
14459,20,2.0, , , 
14460, ,, , , 
14461, ,, , , 
14462, ,, , , 
14463,15,2.0,25, , 
14464, ,, , , 
14465,18,2.0,18, , 
14466, ,, , , 
14467, ,, , , 
14468, ,, , , 
14469, ,, , , 
14470,25,1.0,38, , 
14471, ,, , , 
14472, ,, , , 
14473,15,2.0,24, , 
14474, ,, , , 
14475, ,, , , 
14476, ,, , , 
14477,15,1.0,15, , 
14478,19,2.0,19,30,30
14479,14,1.0,16,20,24
14480, ,, , , 
14481,18,1.0,18,18,28
14482,28,1.0,28,99,99
14483,12,2.0,16, , 
14484, ,, , , 
14485,40,2.0,40, , 
14486, ,, , , 
14487,14,1.0,18, , 
14488, ,, , , 
14489, ,, , , 
14490,6,2.0,17, , 
14491, ,, , , 
14492, ,, , , 
14493,16,2.0,20,99,99
14494, ,, , , 
14495, ,, , , 
14496, ,, , , 
14497, ,, , , 
14498, ,, , , 
14499, ,, , , 
14500, ,, , , 
14501,39,2.0,39, , 
14502, ,, , , 
14503,13,2.0,14, , 
14504,14,1.0,17,21,21
14505, ,, , , 
14506,14,1.0,18, , 
14507,18,2.0,20, , 
14508, ,, , , 
14509, ,, , , 
14510,15,2.0,18, , 
14511, ,, , , 
14512, ,, , , 
14513, ,, , , 
14514,18,2.0,30,30,30
14515, ,, , , 
14516, ,, , , 
14517,9,1.0,9,40,41
14518,16,1.0,16,26,27
14519, ,, , , 
14520,15,2.0,19, , 
14521,18,1.0,18, , 
14522, ,, , , 
14523,18,1.0,18, , 
14524, ,, , , 
14525,14,1.0,20,33,33
14526, ,, , , 
14527, ,, , , 
14528,19,1.0,19, , 
14529, ,, , , 
14530,26,1.0,26,26,61
14531, ,, , , 
14532, ,, , , 
14533,17,1.0,17, , 
14534, ,, , , 
14535, ,, , , 
14536, ,, , , 
14537, ,, , , 
14538,17,2.0,21, , 
14539, ,, , , 
14540,14,1.0, , , 
14541, ,, , , 
14542, ,, , , 
14543,17,2.0,17, , 
14544,16,1.0,22, , 
14545, ,, , , 
14546, ,, , , 
14547,21,2.0,23, , 
14548, ,, , , 
14549, ,, , , 
14550,17,2.0,17, , 
14551, ,, , , 
14552, ,, , , 
14553, ,, , , 
14554,15,2.0,16,16,99
14555, ,, , , 
14556, ,, , , 
14557, ,, , , 
14558,21,2.0,21, , 
14559,22,1.0,22,22,22
14560, ,, , , 
14561, ,, , , 
14562,11,1.0,15,16,16
14563,14,1.0,14, , 
14564,11,1.0,16,34,34
14565, ,, , , 
14566, ,, , , 
14567,16,1.0,16, , 
14568,25,1.0,27,28,29
14569,14,1.0,17, , 
14570, ,, , , 
14571,11,1.0,14, , 
14572, ,, , , 
14573,21,1.0,21, , 
14574, ,, , , 
14575,12,1.0,18, , 
14576, ,, , , 
14577, ,, , , 
14578, ,, , , 
14579, ,, , , 
14580, ,, , , 
14581, ,, , , 
14582, ,, , , 
14583, ,, , , 
14584,16,2.0,16, , 
14585, ,, , , 
14586, ,, , , 
14587, ,, , , 
14588,14,2.0, ,35,35
14589,16,1.0,16,38,39
14590, ,, , , 
14591, ,, , , 
14592,17,1.0,17, , 
14593,14,2.0,14,23,23
14594, ,, , , 
14595, ,, , , 
14596, ,, , , 
14597,21,2.0,21, , 
14598, ,, , , 
14599,13,1.0,13, , 
14600, ,, , , 
14601, ,, , , 
14602,14,1.0,18,21,37
14603, ,, , , 
14604, ,, , , 
14605, ,, , , 
14606,17,1.0,22, , 
14607, ,, , , 
14608,14,2.0,18, , 
14609,16,2.0,16, , 
14610,15,2.0,17,22,23
14611, ,, , , 
14612,18,1.0,40, , 
14613, ,, , , 
14614, ,, , , 
14615,11,2.0,18,19,23
14616, ,, , , 
14617,19,2.0,31,50,53
14618, ,, , , 
14619,8,1.0,13, , 
14620,18,1.0,18,25,25
14621,8,1.0, , , 
14622, ,, , , 
14623, ,, , , 
14624, ,, , , 
14625,19,1.0,20,21,21
14626, ,, , , 
14627, ,, , , 
14628,15,1.0,15, , 
14629, ,, , , 
14630,21,2.0,25, , 
14631,16,1.0,16, , 
14632,31,1.0,31, , 
14633,16,2.0,17, , 
14634,10,2.0,16,18,18
14635, ,, , , 
14636, ,, , , 
14637,20,1.0,20, , 
14638, ,, , , 
14639, ,, , , 
14640, ,, , , 
14641, ,, , , 
14642,19,2.0,19, , 
14643, ,, , , 
14644,18,1.0,18, , 
14645,12,1.0,16,17,18
14646, ,, , , 
14647, ,, , , 
14648,17,1.0,19, , 
14649,15,2.0, , , 
14650, ,, , , 
14651, ,, , , 
14652, ,, , , 
14653, ,, , , 
14654,16,1.0,16,44,44
14655, ,, , , 
14656,15,1.0,15,18,18
14657,21,2.0,25,25,25
14658,19,1.0,30,35,42
14659,13,1.0,19,34,35
14660, ,, , , 
14661,24,2.0,24, , 
14662, ,, , , 
14663, ,, , , 
14664, ,, , , 
14665, ,, , , 
14666,14,2.0,14, , 
14667,14,1.0,17,20,20
14668,16,1.0,18,22,22
14669, ,, , , 
14670, ,, , , 
14671,15,2.0,17, , 
14672,20,1.0,20, , 
14673, ,, , , 
14674, ,, , , 
14675, ,, , , 
14676, ,, , , 
14677, ,, , , 
14678,15,1.0,15, , 
14679, ,, , , 
14680,5,1.0,13, , 
14681,15,2.0,17,20,99
14682, ,, , , 
14683, ,, , , 
14684,13,1.0,18,20,59
14685,14,2.0,14, , 
14686, ,, , , 
14687,13,1.0,13,30,30
14688,99,1.0,99,99,99
14689, ,, , , 
14690, ,, , , 
14691, ,, , , 
14692, ,, , , 
14693, ,, , , 
14694, ,, , , 
14695, ,, , , 
14696,18,2.0,20, , 
14697,18,1.0,19, , 
14698, ,, , , 
14699, ,, , , 
14700,16,1.0,16,18,19
14701,18,2.0,18, , 
14702, ,, , , 
14703, ,, , , 
14704, ,, , , 
14705, ,, , , 
14706, ,, , , 
14707,21,1.0,23, , 
14708, ,, , , 
14709, ,, , , 
14710, ,, , , 
14711, ,, , , 
14712, ,, , , 
14713, ,, , , 
14714, ,, , , 
14715, ,, , , 
14716, ,, , , 
14717, ,, , , 
14718,17,1.0,18, , 
14719,13,1.0,15,19,19
14720,20,1.0,20, , 
14721,14,2.0,15,16,16
14722, ,, , , 
14723,14,1.0,15, , 
14724, ,, , , 
14725, ,, , , 
14726,19,2.0,19, , 
14727, ,, , , 
14728, ,, , , 
14729,15,1.0,16,16,16
14730, ,, , , 
14731, ,, , , 
14732, ,, , , 
14733, ,, , , 
14734, ,, , , 
14735, ,, , , 
14736, ,, , , 
14737,20,2.0,23, , 
14738, ,, , , 
14739, ,, , , 
14740, ,, , , 
14741, ,, , , 
14742,10,1.0,15, , 
14743, ,, , , 
14744,17,1.0,25,41,41
14745, ,, , , 
14746,19,1.0,20,43,44
14747,38,2.0,38, , 
14748,20,1.0,20,69,70
14749, ,, , , 
14750, ,, , , 
14751, ,, , , 
14752, ,, , , 
14753,16,2.0,16, , 
14754, ,, , , 
14755, ,, , , 
14756, ,, , , 
14757,16,1.0,16,19,20
14758,13,2.0,13, , 
14759, ,, , , 
14760, ,, , , 
14761,13,1.0,14,25,25
14762,16,2.0, , , 
14763, ,, , , 
14764,17,2.0, ,17,17
14765,16,1.0,16,45,46
14766, ,, , , 
14767, ,, , , 
14768, ,, ,34,35
14769,13,2.0,16,16,16
14770,14,1.0,18,59,60
14771, ,, , , 
14772,14,2.0,16,25,25
14773,16,1.0,17, , 
14774,14,1.0,16,52,53
14775, ,, , , 
14776,19,1.0,19,21,22
14777, ,, , , 
14778,16,2.0,18, , 
14779,9,2.0,12, , 
14780, ,, , , 
14781,8,1.0,11,11,53
14782,18,2.0,18, , 
14783,12,1.0,23,30,30
14784,13,1.0,13,30,30
14785, ,, , , 
14786, ,, , , 
14787, ,, , , 
14788, ,, , , 
14789, ,, , , 
14790,19,2.0,45, , 
14791,25,2.0,28, , 
14792, ,, , , 
14793,20,2.0, , , 
14794,16,1.0,17, , 
14795,13,1.0,13, , 
14796,12,1.0,14,18,18
14797,5,2.0,5, , 
14798, ,, , , 
14799,17,1.0,18, , 
14800, ,, , , 
14801,18,2.0,19, , 
14802, ,, , , 
14803, ,, , , 
14804, ,, , , 
14805,17,1.0,17,18,18
14806,16,2.0, , , 
14807,15,2.0,15,45,45
14808,14,1.0,14,30,31
14809, ,, , , 
14810,18,2.0,18, , 
14811,16,2.0,35, , 
14812, ,, , , 
14813, ,, , , 
14814, ,, , , 
14815,19,2.0, , , 
14816, ,, , , 
14817,14,1.0,18,79,80
14818, ,, , , 
14819, ,, , , 
14820,8,1.0,11,28,28
14821, ,, ,20,20
14822, ,, , , 
14823,16,2.0,26,31,32
14824, ,, , , 
14825, ,, , , 
14826,8,1.0,10,35,36
14827, ,, , , 
14828, ,, , , 
14829, ,, , , 
14830, ,, , , 
14831,17,2.0,18, , 
14832, ,, , , 
14833,15,2.0,15, , 
14834,21,2.0,21, , 
14835,16,2.0,20, , 
14836, ,, , , 
14837, ,, , , 
14838,15,1.0,18, , 
14839, ,, , , 
14840, ,, , , 
14841, ,, , , 
14842, ,, , , 
14843,14,2.0,16, , 
14844,17,2.0,21, , 
14845, ,, , , 
14846, ,, , , 
14847,13,1.0,16,81,82
14848,16,1.0,17,19,20
14849, ,, , , 
14850,14,1.0,15,28,29
14851,18,1.0,20,22,42
14852, ,, , , 
14853,14,1.0, , , 
14854, ,, , , 
14855, ,, , , 
14856,15,2.0,18,24,99
14857, ,, , , 
14858,24,2.0, , , 
14859, ,, , , 
14860, ,, , , 
14861,17,1.0,17,35,36
14862,20,1.0,20,25,26
14863, ,, , , 
14864,16,2.0,21, , 
14865,16,1.0,19, , 
14866, ,, , , 
14867,18,2.0,18, , 
14868, ,, , , 
14869, ,, , , 
14870, ,, , , 
14871, ,, , , 
14872,7,1.0,19, , 
14873, ,, , , 
14874, ,, , , 
14875, ,, , , 
14876, ,, , , 
14877,9,1.0,14,42,43
14878, ,, , , 
14879,18,2.0, , , 
14880, ,, , , 
14881,8,1.0,99, , 
14882, ,, , , 
14883,18,2.0,18, , 
14884, ,, , , 
14885,16,1.0,23, , 
